⺀	〔※󰁦※󰄼※󰄼※※☯※uyy※〕
𰆠	〔※󰂡※󰂮※󰄼※󰄣※☯※dfyv※〕
𰆡	〔※󰂡※󰂮※󰂮※󰄤※☯※dffw※〕
𰆢	〔※󰂡※󰂮※󰂮※󰂘※☯※dffc※〕
𰆣	〔※󰂡※󰂮※󰂮※󰂘※☯※dffc※〕
𰆤	〔※󰂡※󰃼※󰄢※󰂘※☯※drvc※〕
𰆥	〔※󰂡※󰄓※󰃋※󰄻※☯※dujn※〕
𰆦	〔※󰂡※󰄩※󰄩※󰄠※☯※dxxv※〕
𰆧	〔※󰂡※󰃺※󰀪※󰃏※☯※dqik※〕
𰆨	〔※󰂡※󰁺※󰄦※󰄒※☯※dawu※〕
𰆩	〔※󰂡※󰂀※󰂞※󰀖※☯※drde※〕
𰆪	〔※󰂡※󰂴※󰃜※󰂣※☯※dfmd※〕
𰆫	〔※󰂡※󰂮※󰄼※󰃕※☯※dfyl※〕
𰆬	〔※󰂡※󰃽※󰃅※󰃅※☯※drii※〕
𰆭	〔※󰂙※󰄨※󰄼※󰁧※☯※cwyu※〕
𰆮	〔※󰂙※󰂝※󰂭※󰃺※☯※cdfq※〕
𰆯	〔※󰂮※󰂙※󰃊※󰂮※☯※fcjf※〕
𰆰	〔※󰁿※󰄋※󰂘※󰁧※☯※ttcu※〕
𰆱	〔※󰂢※󰂿※󰂘※󰁶※☯※dhcy※〕
𰆲	〔※󰂔※󰂺※󰂶※󰂘※☯※bhgc※〕
𰆳	〔※󰂘※󰄥※󰁳※󰁀※☯※cwxn※〕
𰆵	〔※󰂖※󰂃※󰂱※󰀵※☯※byfk※〕
𰆷	〔※󰂘※󰁼※󰄻※󰃉※☯※cdnj※〕
𰆸	〔※󰂼※󰂘※󰁧※※☯※hcu※〕
𰆹	〔※󰃙※󰂘※󰁶※※☯※mcy※〕
𰆺	〔※󰁿※󰂺※󰂭※󰂘※☯※thfc※〕
𰆻	〔※󰂘※󰂮※󰂮※󰀝※☯※cffg※〕
𰆼	〔※󰀈※󰂘※󰀈※󰂘※☯※bcbc※〕
𰆽	〔※󰂘※󰂘※󰃷※󰂙※☯※ccqc※〕
𰆾	〔※󰂖※󰂃※󰄓※󰀌※☯※byud※〕
𰆿	〔※󰄤※󰄤※󰃡※󰂘※☯※wwnc※〕
𰇀	〔※󰀥※󰃱※󰂶※󰂘※☯※hpgc※〕
𰇁	〔※󰂘※󰄼※󰂙※󰂥※☯※cyce※〕
𰇂	〔※󰅆※󰂐※󰂘※󰁧※☯※ebcu※〕
𰇃	〔※󰂘※󰂘※󰂘※󰀨※☯※ccci※〕
𰇄	〔※󰁿※󰃊※󰄐※󰂘※☯※tjtc※〕
𰇅	〔※󰂘※󰁼※󰃜※󰂺※☯※cdmh※〕
𰇆	〔※󰂘※󰂘※󰂘※󰂘※☯※cccc※〕
𰇇	〔※󰃏※󰂭※󰀝※※☯※kfg※〕
𰇈	〔※󰄓※󰃏※󰁈※󰀅※☯※uknb※〕
𰇉	〔※󰄬※󰃏※󰀘※※☯※xkf※〕
𰇊	〔※󰃏※󰂭※󰁓※󰄼※☯※kfny※〕
𰇋	〔※󰀼※󰄶※󰃏※󰀘※☯※mykf※〕
𰇌	〔※󰄋※󰂉※󰃏※󰀘※☯※takf※〕
𰇍	〔※󰂘※󰂘※󰃏※󰀘※☯※cckf※〕
𰇎	〔※󰃏※󰀂※󰃅※󰁶※☯※kaiy※〕
𰇏	〔※󰃏※󰂼※󰀝※※☯※khg※〕
𰇐	〔※󰃏※󰃐※󰀝※※☯※klg※〕
𰇑	〔※󰀼※󰀼※󰂶※󰃏※☯※mmgk※〕
𰇒	〔※󰃏※󰄥※󰁿※󰃝※☯※kwtn※〕
𰇔	〔※󰂹※󰃏※󰄮※󰀅※☯※gkxb※〕
𰇕	〔※󰃏※󰂶※󰄒※󰂝※☯※kgud※〕
𰇖	〔※󰃏※󰂭※󰂙※󰂫※☯※kfce※〕
𰇗	〔※󰃏※󰃿※󰃏※󰀝※☯※krkg※〕
𰇘	〔※󰃏※󰃚※󰃉※󰀢※☯※kmjh※〕
𰇙	〔※󰀼※󰄶※󰃏※󰄮※☯※mykx※〕
𰇚	〔※󰃏※󰃸※󰄤※󰂿※☯※kqwh※〕
𰇛	〔※󰃏※󰄥※󰂣※󰁶※☯※kwdy※〕
𰇜	〔※󰃏※󰄂※󰄄※󰁶※☯※krry※〕
𰇝	〔※󰃭※󰃏※󰂘※󰁧※☯※pkcu※〕
𰇞	〔※󰃏※󰄷※󰃉※󰀬※☯※kyjj※〕
𰇟	〔※󰄼※󰃜※󰃆※󰃏※☯※ymik※〕
𰇠	〔※󰂫※󰃏※󰄤※󰄮※☯※ekwx※〕
𰇡	〔※󰃏※󰄪※󰁿※󰃝※☯※kxtn※〕
𰇢	〔※󰃏※󰂘※󰄅※󰁶※☯※kcsy※〕
𰇣	〔※󰃏※󰂘※󰂇※󰁶※☯※kcay※〕
𰇤	〔※󰂠※󰃏※󰄮※󰀅※☯※dkxb※〕
𰇥	〔※󰃏※󰂶※󰁡※󰃮※☯※kgqp※〕
𰇧	〔※󰃏※󰂮※󰁄※󰄤※☯※kfnw※〕
𰇨	〔※󰃏※󰄦※󰃏※󰄮※☯※kwkx※〕
𰇩	〔※󰃛※󰃏※󰀘※※☯※mkf※〕
𰇪	〔※󰃏※󰃏※󰃏※󰂺※☯※kkkh※〕
𰇫	〔※󰃏※󰃏※󰂚※󰀅※☯※kkcb※〕
𰇬	〔※󰃏※󰁚※󰄼※󰄼※☯※kqyy※〕
𰇮	〔※󰂖※󰂃※󰄤※󰃏※☯※bywk※〕
𰇯	〔※󰂁※󰀠※󰂏※󰃏※☯※ngbk※〕
𰇰	〔※󰃏※󰃡※󰂭※󰄼※☯※knfy※〕
𰇱	〔※󰃏※󰂶※󰁔※󰃏※☯※kgnk※〕
𰇲	〔※󰃏※󰄤※󰄼※󰃚※☯※kwym※〕
𰇳	〔※󰃏※󰃸※󰃏※󰄼※☯※kqky※〕
𰇴	〔※󰄤※󰂶※󰃏※󰄓※☯※wgku※〕
𰇵	〔※󰃏※󰃼※󰁃※󰄀※☯※krnr※〕
𰇶	〔※󰃏※󰂝※󰄕※󰂱※☯※kduf※〕
𰇷	〔※󰃏※󰄸※󰄏※󰁶※☯※kyty※〕
𰇸	〔※󰃏※󰄶※󰄃※󰂼※☯※kynh※〕
𰇹	〔※󰃏※󰃁※󰂮※󰂙※☯※kifc※〕
𰇺	〔※󰃫※󰁬※󰄤※󰃏※☯※ovwk※〕
𰇻	〔※󰃏※󰂒※󰂜※󰀩※☯※kbdi※〕
𰇼	〔※󰃏※󰂙※󰂝※󰂥※☯※kcde※〕
𰇽	〔※󰃏※󰄺※󰄋※󰃍※☯※kntj※〕
𰇾	〔※󰂁※󰂶※󰃏※󰃏※☯※ngkk※〕
𰇿	〔※󰂶※󰃏※󰄕※󰄮※☯※gkux※〕
𰈀	〔※󰂮※󰁾※󰃏※󰄮※☯※fhkx※〕
𰈁	〔※󰃏※󰃿※󰃺※󰀪※☯※krqi※〕
𰈂	〔※󰃏※󰂶※󰂙※󰄏※☯※kgct※〕
𰈃	〔※󰃏※󰃿※󰄮※󰃊※☯※krxj※〕
𰈄	〔※󰃏※󰃿※󰄤※󰃏※☯※krwk※〕
𰈅	〔※󰃒※󰀭※󰂭※󰄮※☯※ljfx※〕
𰈆	〔※󰃏※󰀭※󰁿※󰁜※☯※kjtq※〕
𰈇	〔※󰃏※󰃆※󰃱※󰂙※☯※kipc※〕
𰈈	〔※󰃏※󰃀※󰃜※󰂺※☯※khmh※〕
𰈉	〔※󰃏※󰁩※󰄮※󰀑※☯※kuxe※〕
𰈊	〔※󰃏※󰀥※󰃏※󰃨※☯※khko※〕
𰈋	〔※󰃏※󰃻※󰁥※󰃍※☯※kqtj※〕
𰈌	〔※󰃁※󰃅※󰄋※󰄮※☯※iitx※〕
𰈍	〔※󰃏※󰄓※󰄅※󰁶※☯※kusy※〕
𰈎	〔※󰃏※󰃰※󰂽※󰃅※☯※kphi※〕
𰈏	〔※󰀶※󰂖※󰂘※󰃕※☯※kbcl※〕
𰈐	〔※󰃏※󰄞※󰄶※󰂔※☯※kvyb※〕
𰈑	〔※󰀎※󰄦※󰃏※󰄮※☯※dwkx※〕
𰈒	〔※󰃏※󰂢※󰃜※󰃢※☯※kdmn※〕
𰈓	〔※󰃏※󰀭※󰁿※󰃕※☯※kjtl※〕
𰈔	〔※󰃏※󰃒※󰂶※󰀓※☯※klge※〕
𰈕	〔※󰃼※󰁃※󰄀※󰄮※☯※rnrx※〕
𰈖	〔※󰂺※󰂜※󰂺※󰄮※☯※hdhx※〕
𰈗	〔※󰁿※󰂝※󰃏※󰄮※☯※tdkx※〕
𰈘	〔※󰃏※󰄎※󰄤※󰄉※☯※ktws※〕
𰈙	〔※󰃏※󰄋※󰅛※󰄨※☯※ktuw※〕
𰈚	〔※󰃏※󰃰※󰄁※󰄦※☯※kprw※〕
𰈛	〔※󰄼※󰄣※󰃼※󰃏※☯※yvrk※〕
𰈜	〔※󰃳※󰁧※󰄠※󰃏※☯※puvk※〕
𰈝	〔※󰃏※󰂎※󰃛※󰁶※☯※kbmy※〕
𰈞	〔※󰃏※󰁐※󰂺※󰂻※☯※knhh※〕
𰈟	〔※󰄋※󰂝※󰃏※󰃏※☯※tdkk※〕
𰈠	〔※󰃣※󰁼※󰂺※󰄮※☯※ndhx※〕
𰈡	〔※󰃏※󰃇※󰄏※󰁶※☯※kity※〕
𰈢	〔※󰃏※󰄍※󰃊※󰂶※☯※ktjg※〕
𰈣	〔※󰃏※󰄥※󰂺※󰀑※☯※kwhe※〕
𰈤	〔※󰃏※󰄍※󰄓※󰀝※☯※ktug※〕
𰈥	〔※󰃏※󰂧※󰄦※󰃺※☯※kewq※〕
𰈦	〔※󰃏※󰄤※󰂶※󰃕※☯※kwgl※〕
𰈧	〔※󰄋※󰁪※󰄨※󰃏※☯※tuwk※〕
𰈨	〔※󰃏※󰄐※󰂜※󰅂※☯※ktdp※〕
𰈩	〔※󰂶※󰂝※󰃏※󰄨※☯※gdkw※〕
𰈪	〔※󰃏※󰂇※󰃏※󰃢※☯※kakn※〕
𰈫	〔※󰂶※󰄞※󰃏※󰂟※☯※gvkd※〕
𰈬	〔※󰃏※󰃏※󰃏※󰄋※☯※kkkt※〕
𰈭	〔※󰃏※󰄥※󰁷※󰃩※☯※kwyo※〕
𰈮	〔※󰃏※󰄪※󰂊※󰀜※☯※kxaf※〕
𰈯	〔※󰃏※󰂱※󰃜※󰂣※☯※kfmd※〕
𰈰	〔※󰃏※󰃊※󰅆※󰂘※☯※kjec※〕
𰈱	〔※󰃏※󰄋※󰂱※󰄤※☯※ktfw※〕
𰈲	〔※󰃏※󰃶※󰄋※󰂹※☯※kqtg※〕
𰈳	〔※󰁿※󰄸※󰂟※󰃏※☯※tydk※〕
𰈴	〔※󰃫※󰄅※󰄅※󰄮※☯※ossx※〕
𰈵	〔※󰃱※󰂶※󰃏※󰄮※☯※pgkx※〕
𰈶	〔※󰃏※󰄪※󰄊※󰂳※☯※kxsf※〕
𰈸	〔※󰃏※󰂐※󰂘※󰃈※☯※kbci※〕
𰈹	〔※󰃏※󰄅※󰃏※󰄔※☯※ksku※〕
𰈺	〔※󰂯※󰃏※󰄕※󰃏※☯※fkuk※〕
𰈻	〔※󰃏※󰃏※󰃋※󰃠※☯※kkjn※〕
𰈽	〔※󰄷※󰃏※󰃹※󰄅※☯※ykqs※〕
𰈾	〔※󰃏※󰁼※󰁐※󰃨※☯※kdno※〕
𰈿	〔※󰃏※󰀥※󰃹※󰂱※☯※khqf※〕
𰉀	〔※󰃏※󰄥※󰄈※󰃛※☯※kwsm※〕
𰉁	〔※󰃏※󰄓※󰄋※󰃚※☯※kutm※〕
𰉂	〔※󰃏※󰄶※󰄒※󰄏※☯※kyut※〕
𰉃	〔※󰃏※󰃁※󰄖※󰂳※☯※kiaf※〕
𰉄	〔※󰃏※󰄋※󰂮※󰃚※☯※ktfm※〕
𰉅	〔※󰃏※󰃶※󰃜※󰃘※☯※kqmm※〕
𰉆	〔※󰃏※󰃿※󰃰※󰄆※☯※krps※〕
𰉇	〔※󰂯※󰃏※󰄕※󰀑※☯※fkue※〕
𰉈	〔※󰁢※󰃨※󰃊※󰂟※☯※qojd※〕
𰉉	〔※󰃏※󰁢※󰃨※󰄜※☯※kqou※〕
𰉊	〔※󰃏※󰁿※󰂱※󰃌※☯※ktfj※〕
𰉋	〔※󰃏※󰁙※󰁴※󰂝※☯※koxd※〕
𰉌	〔※󰃏※󰄓※󰀑※󰂿※☯※kueh※〕
𰉎	〔※󰃒※󰄗※󰀏※※☯※lue※〕
𰉏	〔※󰃒※󰀥※󰃏※󰀌※☯※lhkd※〕
𰉐	〔※󰃓※󰂜※󰀘※※☯※ldf※〕
𰉑	〔※󰃒※󰂝※󰄕※󰂱※☯※lduf※〕
𰉒	〔※󰂝※󰄤※󰄤※󰃏※☯※dwwk※〕
𰉓	〔※󰃒※󰃏※󰂝※󰂱※☯※lkdf※〕
𰉔	〔※󰃒※󰂆※󰂢※󰃛※☯※ladm※〕
𰉕	〔※󰂮※󰁈※󰀅※※☯※fnb※〕
𰉖	〔※󰂮※󰂋※󰁀※※☯※fan※〕
𰉗	〔※󰄒※󰂮※󰀌※※☯※ufd※〕
𰉘	〔※󰂮※󰂭※󰂁※󰂺※☯※ffnh※〕
𰉙	〔※󰂮※󰃜※󰄄※󰁶※☯※fmry※〕
𰉚	〔※󰂮※󰀿※󰁜※󰁀※☯※fmqn※〕
𰉛	〔※󰄋※󰂝※󰂮※󰀘※☯※tdff※〕
𰉜	〔※󰂮※󰄤※󰂶※󰃦※☯※fwgn※〕
𰉝	〔※󰂮※󰂬※󰀅※※☯※feb※〕
𰉞	〔※󰂮※󰄬※󰂺※󰀢※☯※fxhh※〕
𰉟	〔※󰂮※󰁩※󰄮※󰁀※☯※fuxn※〕
𰉠	〔※󰂮※󰄋※󰁼※󰂘※☯※ftdc※〕
𰉡	〔※󰂮※󰄐※󰄑※󰁶※☯※ftuy※〕
𰉢	〔※󰄓※󰂮※󰀘※※☯※uff※〕
𰉣	〔※󰂮※󰂘※󰀟※󰀢※☯※fcgh※〕
𰉤	〔※󰂗※󰂮※󰀘※※☯※bff※〕
𰉥	〔※󰂮※󰂶※󰄒※󰂝※☯※fgud※〕
𰉦	〔※󰂮※󰁼※󰂧※󰀝※☯※fdeg※〕
𰉧	〔※󰂡※󰂣※󰂮※󰀌※☯※ddfd※〕
𰉨	〔※󰂮※󰂔※󰀟※󰀢※☯※fbgh※〕
𰉩	〔※󰂮※󰄋※󰂝※󰀯※☯※ftdj※〕
𰉪	〔※󰂮※󰄥※󰁳※󰂱※☯※fwxf※〕
𰉫	〔※󰂮※󰄥※󰁚※󰂕※☯※fwqb※〕
𰉬	〔※󰂮※󰁰※󰂶※󰃹※☯※fwgq※〕
𰉭	〔※󰂮※󰃷※󰃋※󰀘※☯※fqjf※〕
𰉮	〔※󰂮※󰄅※󰃏※󰀝※☯※fskg※〕
𰉯	〔※󰂤※󰂁※󰂮※󰀘※☯※dnff※〕
𰉰	〔※󰂮※󰂱※󰀿※󰂝※☯※ffmd※〕
𰉱	〔※󰂮※󰄤※󰂶※󰂶※☯※fwgg※〕
𰉲	〔※󰂮※󰃸※󰃏※󰁜※☯※fqkq※〕
𰉳	〔※󰂮※󰃼※󰂭※󰂺※☯※frfh※〕
𰉴	〔※󰂮※󰃰※󰄦※󰂫※☯※fpwe※〕
𰉵	〔※󰂮※󰃡※󰂬※󰁀※☯※fnen※〕
𰉶	〔※󰂮※󰃂※󰃏※󰀝※☯※fikg※〕
𰉷	〔※󰂮※󰂟※󰂮※󰀝※☯※fdfg※〕
𰉸	〔※󰀄※󰁜※󰀄※󰂮※☯※aqaf※〕
𰉹	〔※󰄅※󰄦※󰂙※󰂮※☯※swcf※〕
𰉺	〔※󰂮※󰃷※󰃪※󰁶※☯※fqoy※〕
𰉻	〔※󰂮※󰂦※󰃱※󰂘※☯※fepc※〕
𰉼	〔※󰂧※󰂧※󰂮※󰀘※☯※eeff※〕
𰉽	〔※󰂮※󰀧※󰃱※󰂍※☯※fipb※〕
𰉾	〔※󰂮※󰄶※󰄥※󰄼※☯※fywy※〕
𰉿	〔※󰂙※󰄦※󰃩※󰂮※☯※cwof※〕
𰊀	〔※󰄟※󰂙※󰃏※󰂮※☯※vckf※〕
𰊁	〔※󰂮※󰄅※󰄀※󰄼※☯※fsry※〕
𰊂	〔※󰂮※󰂶※󰀶※󰂺※☯※fgkh※〕
𰊃	〔※󰂮※󰂷※󰃕※󰀝※☯※fglg※〕
𰊄	〔※󰂮※󰃅※󰄋※󰂼※☯※fith※〕
𰊅	〔※󰂮※󰃸※󰃏※󰁦※☯※fqku※〕
𰊆	〔※󰂮※󰄋※󰂝※󰃃※☯※ftdi※〕
𰊇	〔※󰃁※󰃼※󰂶※󰂮※☯※irgf※〕
𰊈	〔※󰄿※󰃹※󰂳※󰂮※☯※uqff※〕
𰊉	〔※󰄑※󰄊※󰂮※󰀘※☯※usff※〕
𰊊	〔※󰂮※󰄕※󰄩※󰄩※☯※fuxx※〕
𰊋	〔※󰂮※󰃡※󰄕※󰄋※☯※fnut※〕
𰊌	〔※󰂮※󰃡※󰂆※󰂮※☯※fnaf※〕
𰊍	〔※󰂮※󰂮※󰃏※󰀔※☯※ffke※〕
𰊎	〔※󰁼※󰂺※󰂮※󰃏※☯※dhfk※〕
𰊏	〔※󰂮※󰂶※󰁡※󰄅※☯※fgqs※〕
𰊐	〔※󰂮※󰃐※󰃺※󰄐※☯※flqt※〕
𰊑	〔※󰂮※󰀭※󰁿※󰃕※☯※fjtl※〕
𰊒	〔※󰂮※󰄖※󰃡※󰂆※☯※fana※〕
𰊓	〔※󰂮※󰃔※󰃋※󰄻※☯※fljn※〕
𰊔	〔※󰂮※󰄋※󰂼※󰃢※☯※fthn※〕
𰊕	〔※󰂮※󰃩※󰃜※󰃏※☯※fomk※〕
𰊖	〔※󰃁※󰃏※󰄅※󰂮※☯※iksf※〕
𰊗	〔※󰂯※󰃱※󰄧※󰂮※☯※fpwf※〕
𰊙	〔※󰂯※󰃱※󰂶※󰂮※☯※fpgf※〕
𰊚	〔※󰂮※󰂊※󰃏※󰂹※☯※fakg※〕
𰊛	〔※󰂮※󰂋※󰃏※󰃚※☯※fakm※〕
𰊜	〔※󰂮※󰁽※󰃛※󰁶※☯※fgmy※〕
𰊝	〔※󰂮※󰂱※󰂼※󰄅※☯※ffhs※〕
𰊞	〔※󰂮※󰀥※󰅐※󰃏※☯※fhmk※〕
𰊟	〔※󰂮※󰄖※󰂶※󰄤※☯※fagw※〕
𰊠	〔※󰂮※󰃆※󰃱※󰂺※☯※fiph※〕
𰊡	〔※󰂮※󰄙※󰃸※󰂪※☯※fuqe※〕
𰊢	〔※󰃁※󰃖※󰄀※󰂮※☯※ilrf※〕
𰊣	〔※󰃁※󰃩※󰃩※󰂮※☯※ioof※〕
𰊤	〔※󰃫※󰂊※󰃨※󰂮※☯※oaof※〕
𰊥	〔※󰂮※󰄚※󰃏※󰀝※☯※fukg※〕
𰊦	〔※󰂮※󰂯※󰃏※󰃏※☯※ffkk※〕
𰊧	〔※󰂮※󰂱※󰂼※󰄅※☯※ffhs※〕
𰊨	〔※󰂮※󰄚※󰄅※󰁶※☯※fusy※〕
𰊩	〔※󰃏※󰂋※󰂺※󰂮※☯※kahf※〕
𰊪	〔※󰃏※󰃏※󰂋※󰂮※☯※kkaf※〕
𰊫	〔※󰂮※󰄍※󰁬※󰀟※☯※ftvg※〕
𰊬	〔※󰂮※󰄤※󰂶※󰅋※☯※fwgn※〕
𰊭	〔※󰄀※󰀭※󰂘※󰃮※☯※rjcp※〕
𰊮	〔※󰂮※󰄤※󰂶※󰃐※☯※fwgl※〕
𰊯	〔※󰄎※󰁿※󰃊※󰂮※☯※ttjf※〕
𰊰	〔※󰂮※󰁿※󰂺※󰄕※☯※fthu※〕
𰊱	〔※󰂮※󰁸※󰃅※󰄼※☯※fyiy※〕
𰊲	〔※󰃙※󰄸※󰄏※󰂮※☯※mytf※〕
𰊳	〔※󰂮※󰂮※󰂮※󰂝※☯※fffd※〕
𰊴	〔※󰀙※󰃐※󰂮※󰀝※☯※flfg※〕
𰊵	〔※󰂮※󰄥※󰁷※󰄓※☯※fwyu※〕
𰊶	〔※󰄖※󰃋※󰃜※󰂮※☯※ajmf※〕
𰊷	〔※󰂮※󰄱※󰀝※※☯※fxg※〕
𰊸	〔※󰂮※󰃫※󰂢※󰄐※☯※fodt※〕
𰊹	〔※󰂮※󰂠※󰂢※󰃛※☯※fddm※〕
𰊺	〔※󰂮※󰃆※󰃱※󰃋※☯※fipj※〕
𰊻	〔※󰂮※󰂯※󰃔※󰃛※☯※fflm※〕
𰊼	〔※󰂮※󰃀※󰃐※󰀑※☯※fhle※〕
𰊽	〔※󰃏※󰂶※󰁔※󰂮※☯※kgnf※〕
𰊾	〔※󰂮※󰃘※󰀺※󰃨※☯※fmlo※〕
𰊿	〔※󰄩※󰂮※󰄕※󰂮※☯※xfuf※〕
𰋀	〔※󰂮※󰄩※󰄩※󰃐※☯※fxxl※〕
𰋁	〔※󰂢※󰀐※󰃱※󰂮※☯※depf※〕
𰋂	〔※󰂮※󰄖※󰄶※󰂘※☯※fayc※〕
𰋃	〔※󰂮※󰄳※󰃩※󰂘※☯※fyoc※〕
𰋄	〔※󰂮※󰅋※󰃐※󰄦※☯※fnlw※〕
𰋅	〔※󰂮※󰄍※󰃁※󰂳※☯※ftif※〕
𰋆	〔※󰂮※󰃆※󰃱※󰃨※☯※fipo※〕
𰋇	〔※󰂮※󰂮※󰂮※󰄅※☯※fffs※〕
𰋈	〔※󰂯※󰃱※󰂿※󰁧※☯※fphu※〕
𰋉	〔※󰂮※󰂮※󰂮※󰂶※☯※fffg※〕
𰋊	〔※󰂢※󰃊※󰂯※󰄨※☯※djfw※〕
𰋋	〔※󰂯※󰃏※󰄕※󰁦※☯※fkuu※〕
𰋌	〔※󰂯※󰁅※󰂶※󰂆※☯※fnga※〕
𰋎	〔※󰄐※󰂶※󰀓※󰁧※☯※tgeu※〕
𰋏	〔※󰃷※󰂶※󰃏※󰄐※☯※qgkt※〕
𰋐	〔※󰃹※󰃹※󰄡※󰁀※☯※qqvn※〕
𰋑	〔※󰃹※󰃹※󰁺※󰄦※☯※qqaw※〕
𰋒	〔※󰃹※󰃹※󰃁※󰂿※☯※qqih※〕
𰋓	〔※󰃹※󰃹※󰃏※󰁾※☯※qqkh※〕
𰋔	〔※󰃹※󰃹※󰂮※󰂮※☯※qqff※〕
𰋕	〔※󰃹※󰃹※󰃰※󰃅※☯※qqpi※〕
𰋖	〔※󰃪※󰄟※󰃹※󰃹※☯※ovqq※〕
𰋗	〔※󰄅※󰄅※󰃹※󰃅※☯※ssqi※〕
𰋘	〔※󰃰※󰃢※󰄋※󰃹※☯※pntq※〕
𰋙	〔※󰀿※󰂝※󰀦※※☯※mdi※〕
𰋚	〔※󰂆※󰂝※󰁶※※☯※ady※〕
𰋛	〔※󰂝※󰄋※󰀃※󰂃※☯※dtay※〕
𰋜	〔※󰂝※󰄄※󰄄※󰀦※☯※drri※〕
𰋝	〔※󰂋※󰁃※󰂝※󰁧※☯※andu※〕
𰋞	〔※󰂝※󰂶※󰂾※󰀘※☯※dghf※〕
𰋟	〔※󰂶※󰂝※󰂶※󰂝※☯※gdgd※〕
𰋠	〔※󰂜※󰄦※󰂶※󰄻※☯※dwgn※〕
𰋡	〔※󰂶※󰂝※󰃻※󰂑※☯※gdqb※〕
𰋢	〔※󰂝※󰃐※󰂫※󰁥※☯※dlet※〕
𰋣	〔※󰄋※󰂹※󰄋※󰂹※☯※tgtg※〕
𰋤	〔※󰂝※󰁾※󰀥※󰂘※☯※dhhc※〕
𰋥	〔※󰄌※󰃷※󰄋※󰂝※☯※tqtd※〕
𰋦	〔※󰂝※󰄤※󰄤※󰂃※☯※dwwy※〕
𰋧	〔※󰃩※󰃩※󰂝※󰁧※☯※oodu※〕
𰋨	〔※󰂷※󰃽※󰂝※󰁧※☯※grdu※〕
𰋩	〔※󰂶※󰂝※󰂶※󰂝※☯※gdgd※〕
𰋪	〔※󰂶※󰂝※󰃿※󰄓※☯※gdru※〕
𰋫	〔※󰃻※󰁥※󰃍※󰂝※☯※qtjd※〕
𰋬	〔※󰄦※󰄤※󰃏※󰂝※☯※wwkd※〕
𰋭	〔※󰂶※󰂝※󰃋※󰁽※☯※gdjg※〕
𰋮	〔※󰂶※󰂝※󰂱※󰄻※☯※gdfn※〕
𰋯	〔※󰂶※󰂝※󰄶※󰄸※☯※gdyy※〕
𰋰	〔※󰁦※󰂝※󰃛※󰃉※☯※udmj※〕
𰋱	〔※󰄖※󰄤※󰂶※󰂝※☯※awgd※〕
𰋲	〔※󰂝※󰁾※󰃡※󰂉※☯※dhna※〕
𰋳	〔※󰂝※󰂘※󰂘※󰂶※☯※dccg※〕
𰋴	〔※󰂦※󰄩※󰂝※󰂝※☯※exdd※〕
𰋵	〔※󰄟※󰄼※󰀦※※☯※vyi※〕
𰋶	〔※󰄟※󰂫※󰁥※※☯※vet※〕
𰋷	〔※󰀧※󰄟※󰀘※※☯※ivf※〕
𰋸	〔※󰄟※󰁍※󰁤※󰁥※☯※vnrt※〕
𰋹	〔※󰄟※󰂭※󰁓※󰄼※☯※vfny※〕
𰋺	〔※󰄟※󰃩※󰁶※※☯※voy※〕
𰋻	〔※󰄟※󰁅※󰁥※※☯※vnt※〕
𰋼	〔※󰄟※󰄋※󰁼※󰂘※☯※vtdc※〕
𰋽	〔※󰂡※󰂣※󰄟※󰀌※☯※ddvd※〕
𰋾	〔※󰄟※󰁴※󰄮※󰂱※☯※vxxf※〕
𰋿	〔※󰄟※󰂢※󰃊※󰀝※☯※vdjg※〕
𰌀	〔※󰄖※󰃱※󰄟※󰀘※☯※apvf※〕
𰌁	〔※󰄟※󰃘※󰂶※󰄨※☯※vmgw※〕
𰌂	〔※󰄟※󰀥※󰃚※󰁶※☯※vhmy※〕
𰌃	〔※󰄟※󰄤※󰂾※󰀝※☯※vwhg※〕
𰌄	〔※󰄟※󰂝※󰅂※󰁶※☯※vdpy※〕
𰌅	〔※󰃿※󰂚※󰄟※󰀘※☯※rcvf※〕
𰌆	〔※󰃖※󰄀※󰄟※󰀘※☯※lrvf※〕
𰌇	〔※󰄟※󰁽※󰃚※󰁶※☯※vgmy※〕
𰌈	〔※󰄟※󰂱※󰂼※󰀝※☯※vfhg※〕
𰌉	〔※󰄟※󰃏※󰃋※󰄻※☯※vkjn※〕
𰌊	〔※󰄟※󰀄※󰁜※󰁜※☯※vaqq※〕
𰌋	〔※󰄟※󰄚※󰀝※※☯※vug※〕
𰌌	〔※󰂯※󰃏※󰄕※󰄣※☯※fkuv※〕
𰌍	〔※󰄟※󰂝※󰄜※󰀢※☯※vduh※〕
𰌎	〔※󰄟※󰂧※󰂙※󰃏※☯※veck※〕
𰌏	〔※󰄟※󰅏※󰀑※󰀝※☯※vmeg※〕
𰌐	〔※󰄟※󰄖※󰃌※󰀢※☯※vajh※〕
𰌑	〔※󰃏※󰄊※󰄟※󰀘※☯※ksvf※〕
𰌒	〔※󰄟※󰄋※󰃒※󰃢※☯※vtln※〕
𰌓	〔※󰄟※󰂖※󰄙※󰂺※☯※vbuh※〕
𰌔	〔※󰄟※󰃪※󰁦※󰂱※☯※vouf※〕
𰌕	〔※󰃪※󰄟※󰂋※󰁃※☯※ovan※〕
𰌖	〔※󰄟※󰃰※󰃢※󰃕※☯※vpnl※〕
